categories,city,id,name,price,rating,review_count
"[{u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}, {u'alias': u'cafes', u'title': u'Cafes'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",Washington,pineapple-and-pearls-washington-3,Pineapple & Pearls,$$$$,4.5,81
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'belgian', u'title': u'Belgian'}]",Washington,marcels-by-robert-wiedmaier-washington,Marcel's by Robert Wiedmaier,$$$$,4.5,375
"[{u'alias': u'filipino', u'title': u'Filipino'}]",Washington,bad-saint-washington,Bad Saint,$$,4.5,195
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,fiola-washington,Fiola,$$$$,4.0,480
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",Washington,plume-washington,Plume,$$$$,4.0,150
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",Washington,westend-bistro-washington,Westend Bistro,$$$,3.5,258
categories,city,id,name,price,rating,review_count
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'desserts', u'title': u'Desserts'}, {u'alias': u'diners', u'title': u'Diners'}]",Washington,kinship-washington,Kinship,$$$$,4.0,106
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",Washington,metier-washington-3,Metier,$$$$,4.5,6
categories,city,id,name,price,rating,review_count
"[{u'alias': u'seafood', u'title': u'Seafood'}, {u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,fiola-mare-washington,Fiola Mare,$$$,4.5,572
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,fiola-washington,Fiola,$$$$,4.0,480
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,casa-luca-washington,Casa Luca,$$$,4.0,277
categories,city,id,name,price,rating,review_count
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,founding-farmers-dc-washington,Founding Farmers DC,$$,4.0,8493
"[{u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'dimsum', u'title': u'Dim Sum'}, {u'alias': u'japanese', u'title': u'Japanese'}]",Washington,the-source-washington,The Source,$$$,4.0,591
"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}, {u'alias': u'gluten_free', u'title': u'Gluten-Free'}]",Washington,taqueria-nacional-washington-2,Taqueria Nacional,$$,3.5,229
